Designator,Mid X,Mid Y,Rotation,Layer
_4,147.5,-94.5,0.0,top
_3,98.5,-175.0,0.0,top
_2,38.25,-175.25,0.0,top
,38.25,-46.25,0.0,top
C1,53.0,-131.75,90.0,top
C2,75.0,-131.75,90.0,top
C3,53.05,-153.73222,90.0,top
C4,76.05,-153.73222,90.0,top
C5,128.0,-89.0,90.0,top
C6,86.95,-84.0,0.0,top
C7,44.83,-175.25,0.0,top
C8,95.0,-122.0,270.0,top
C9,123.2316,-70.41,180.0,top
D1,85.0,-107.0,90.0,top
D2,114.05,-82.75,270.0,top
D3,60.75,-175.25,0.0,top
D4,110.0,-129.0,270.0,top
D5,91.8,-145.06222,0.0,top
F1,72.0,-97.0,90.0,top
J11,136.975,-84.0,270.0,top
J13,136.975,-68.5,270.0,top
J15,74.475,-68.97,180.0,top
J16,116.5,-111.52,0.0,top
J17,96.0,-155.84722,180.0,top
J19,115.25,-97.495,0.0,top
J2,119.0,-56.745,0.0,top
J3,53.025,-83.85,90.0,top
J4,119.0,-48.0,0.0,top
J5,53.025,-68.5,90.0,top
J6,75.0,-48.24,0.0,top
J7,53.025,-53.15,90.0,top
J9,136.975,-53.5,270.0,top
Q1,94.0,-133.0,0.0,top
Q2,100.8,-144.75,270.0,top
R1,119.0,-66.0,90.0,top
R10,94.75,-126.25,180.0,top
R11,92.0,-115.0,180.0,top
R12,99.0,-132.0875,270.0,top
R13,103.0875,-131.0,0.0,top
R14,102.0,-126.0,0.0,top
R15,103.0,-137.25,180.0,top
R16,89.9125,-133.0,0.0,top
R17,91.0,-122.0,180.0,top
R18,109.9125,-118.0,0.0,top
R19,113.9125,-118.0,0.0,top
R2,108.0,-110.0,0.0,top
R20,115.25,-91.3375,90.0,top
R3,122.0,-87.0,90.0,top
R5,74.475,-58.24,90.0,top
R6,112.0,-110.0,0.0,top
R7,114.0,-87.1625,270.0,top
R8,56.0,-169.02222,0.0,top
R9,91.9125,-110.0,0.0,top
SW1,101.0,-114.0,180.0,top
U1,102.46,-76.49,270.0,top
U2,119.365,-76.125,180.0,top
U3,99.9125,-121.27,270.0,top
U4,86.8184,-77.24,0.0,top
XT90PWRIN1,55.0,-104.0,90.0,top
